"","pop_1km","distance_water","impervious_surface","light","noise","open_green","temp_cooldown","temp_day","temp_night","tree_cover"
"be19",2543.79771552028,362.026361120753,52.094368417579,254.067796913974,62.2043769330864,0.0356718934034502,-0.594557721212686,24.7566455473383,13.8092359519867,39.9109208899808
"be25",6009.28340404456,262.832763014798,49.8368647178394,252.17250776519,61.1762001548658,0.112785082934291,-0.588909184248253,25.6093890541478,14.9336940911398,28.79469585875
"be2",291.686251064142,959.557860076122,2.86836031134216,227.233929912861,44.1435025728666,0.00673308450667462,-0.786931924025218,27.6952827160175,17.2713297134791,75.828454883282
"be16",1693.89118070084,1398.45260913801,41.1095166146506,247.093473809534,65.6353007360482,0.201299702990255,-0.684302544244663,26.6242900593011,14.1497616468613,38.9447721058355
"be20",14246.7082269436,530.660099085366,80.7769369730135,255,56.1090402556629,0.0174799622593039,-0.443658178608592,23.6073364723019,14.3589213766703,13.4160424976814
"be21",2201.05524230634,444.925655627377,38.5935205631155,254.955558332817,56.3258781634941,0.361448314218294,-0.694917034850549,28.3182244174695,16.2936529734778,18.6453016977462
"be23",21841.960179053,1538.3894247452,79.2579196213466,255,56.8699017055144,0.0731920007460273,-0.447093620669418,22.3913737069532,13.4097821724596,7.93561339015283
"be27",5172.32042209201,1212.99720893012,63.8294477505154,253.85166917589,59.6061503601074,0.0423868893908285,-0.552790553437339,24.6487140485975,14.2703845808241,24.3804364734226
"be10",21741.8014183656,888.216601366665,85.7595005545387,254.101669474719,56.5435126401524,0.00168848623329261,-0.40442449890356,21.3812869984836,13.2445368231299,8.13583867690143
"be13",18.8133816644935,51.7507949987224,0.167000768602454,108.387186317246,23.1467369553956,0.0665402330960017,-0.54106495679969,24.9728181078026,17.3664198860603,33.8899330573996
"be14",1071.55906502175,870.808699296983,11.737727142253,245.303146783818,33.2249701589511,0.583480114106974,-0.504992149152808,18.502030867898,9.7670317407471,25.380470987183
"be12",6739.98125388406,798.301436337558,52.0768096013503,253.568498698148,54.7595298940485,0.0879010364561426,-0.531484831124544,23.5907384048809,14.0046252662485,26.8986958698793
"be22",14532.0807425902,524.189511328628,76.3602811675711,254.850940822326,53.9980533049279,0.0360413451325604,-0.485982095457844,23.3279185639214,14.0077780644918,13.1860157976445
"be11",5627.18401367187,289.254914779663,51.1023613548279,253.418884429932,55.9699689483643,0.131335032787174,-0.568338993787766,25.3417958068848,15.074520072937,23.371011133194
"be30",4149.85542747861,683.418985421317,33.362986709958,252.111583346412,41.5774225053333,0.4090705709798,-0.55025706078325,21.8399658407484,11.8144157205309,22.5376105217707
"be17",42.2761420604899,1352.05762546865,2.36519350166709,196.984167281108,51.8980775382651,0.95004022331094,-0.939178671669121,29.6211247563961,12.9112468556543,2.54384281621525
"be15",515.69115518733,1069.06957634128,11.9466327939715,237.418989298295,63.1131594327031,0.58146000121321,-0.818814636493216,29.1233894095129,14.5978755707643,20.9342504228864
"be9",130.727958249825,430.695697925709,0.769556988362671,212.089015607481,38.8965354672185,0.0375603216062127,-0.720662272638745,26.8585805892944,17.0778282130206,64.339686870575
"be29",6210.69350077771,1108.14183189427,56.9048998733451,252.893138833715,55.4801439656391,0.0430445718532639,-0.569311890936545,24.9277826628534,14.3570528159854,33.5417922956372
"be18",1284.57361046044,877.209648338524,43.3532592051738,247.914799210832,59.7211308659734,0.207971336148881,-0.702201709554002,28.2843600505107,15.0473999023438,36.0755167677596
"be28",2.7631850859792,361.815604265998,0.657926072598388,144.978131975446,45.7502260769115,0.011562358164385,-0.758430431119534,27.150225262682,17.173682493322,74.9424854887634
"be26",11665.2380250827,244.456711416761,69.1197577603345,254.707254419186,56.488366714252,0.0744921650113584,-0.521080706507114,24.7527102296576,14.8994763942775,14.8467125493317
"be3",377.06639113793,293.318012565509,15.1354523330792,175.318636242621,33.8422249496253,0.111175943520004,-0.735041402044339,27.3404208912569,15.8008054111878,56.1265391354108
"be5",11669.8260767887,789.832153320312,69.2283293071546,254.321736787495,64.9252646195261,0.0522399099813284,-0.536814666108081,24.8658930527536,14.6768802592629,17.4822632889999
"be6",8382.88880403377,340.248972679958,55.7841788362866,253.952671397816,60.2739612169502,0.0553804417333204,-0.555858990131331,25.3554794138128,15.1622665381629,26.9735205429645
"be7",19161.1738709567,485.616488741155,84.9586113042999,254.994643361945,54.088584197195,0.0108844369518633,-0.419660286030226,22.3065400123596,13.798920221496,8.49934277199862
"be8",7298.87814427426,420.953162584807,76.8547992907072,254.396782965409,59.6717528895328,0.0202582892104003,-0.530995975042644,25.3948421177111,14.7286712746871,16.404668461649
"be24",18034.2925590701,543.67189003549,72.962208296613,254.933164940811,57.95037797137,0.102194593156256,-0.419062235297226,20.4167688509313,12.3051979995355,11.8284769104748
"be4",948.318648223877,543.076705627441,5.48183493852615,177.16515663147,41.7153390693665,0.0630912038683891,-0.736042838394642,26.7446479415894,16.5666565418243,63.7430731582642
