"","pop_2km","distance_water","impervious_surface","light","noise","open_green","temp_cooldown","temp_day","temp_night","tree_cover"
"be19",-0.536477641302798,-0.543169916798987,0.281704481134779,0.558124238006182,0.897666389525928,-0.361608604931446,-0.19772934034032,0.353029182726326,-0.0280906304079023,0.349941582671217
"be25",-0.265943888108488,-0.866215092920181,0.0371084059844818,0.479884321012108,0.685081604919032,-0.243804382028766,-0.273727333417915,0.523595714172753,0.497447094138494,0.19196808686092
"be2",-0.826298023818517,0.672447203931465,-1.25514571280053,-0.254713101032088,-0.505019707188024,-0.703291208326579,-1.47420914143371,0.922109740484126,1.22670513586586,2.22654739637997
"be16",-0.715661118478192,1.59428555495347,-0.0908711693701574,0.292195704056757,1.05245966655247,0.51740511303763,-0.933658171783884,0.845459472460069,-0.0381496219790834,0.225526763680154
"be20",1.12383508075453,-0.742277375209738,1.29311926488744,0.583684793882923,0.467401953635596,-0.620947033652991,1.2013835412096,-0.409543077803313,-0.0781715576430083,-0.94296086007367
"be21",-0.518785842579359,0.146313530012407,0.598054948872302,0.5814762942341,0.524397506861455,0.124888932729438,-0.251288190028333,0.877711244298016,0.669640724695212,-0.60124123328043
"be23",1.88942103042803,2.22324923082146,1.10617993288275,0.583752607173639,0.474396127451856,-0.395148389646007,0.895730925129567,-0.52353386857947,-0.358642429670114,-0.934217596824698
"be27",-0.331772176798457,0.935437177144825,0.719587200001357,0.553385064079299,0.63503434084572,-0.51666093835757,0.0544419275688779,0.304585542753792,0.103141186898513,-0.327952234096685
"be10",2.16261113620013,0.518367139683749,1.29496528493259,0.561372050785055,0.405956037524044,-0.725663341142026,1.28104134450977,-0.959796500566421,-0.557997887183429,-0.962935802743028
"be13",-0.982323981262131,-1.74864985188108,-1.56372817610962,-3.00637522781443,-2.59149502927765,-0.191350342855005,0.884068052852266,-0.789722263421509,0.706481351505217,0.274484371688189
"be14",-0.651257986583994,0.861071779320854,-0.954473999694628,0.202588921601556,-2.14470419454157,2.02583835530331,1.63224756665377,-3.22981277624381,-3.19478354355407,-0.283438107264386
"be12",0.0177767812417507,-0.0972127385192022,0.215022817221261,0.540200895932425,0.190734306565626,-0.298152933498942,0.185908580333691,-0.0281618633856125,0.0108687962584083,0.0215453395143172
"be22",0.906394114695568,0.143599144775765,0.782696987106303,0.579244596441115,0.250572573875714,-0.485014280798184,0.384847963721932,-0.0333496145356171,0.0908495215249601,-0.521673819133932
"be11",-0.0879902295049838,-0.70075355046346,0.157330320424074,0.532640404012891,0.2764997326878,-0.161785192905079,-0.0720053819872113,0.357056985514559,0.337308899279289,-0.0424899651815292
"be30",-0.362310797481926,0.0663921953210171,-0.585874261283305,0.424920241971085,-1.58552298939725,1.86795650610987,1.04664001236599,-2.05828806189781,-2.23578721163715,-0.677053243555142
"be17",-0.915435103235918,1.86209088674616,-1.28656378934121,-0.762650928568813,-0.2709501376745,3.64625651962502,-2.1178035352759,0.85405628819218,-1.15252555112153,-1.31488186082617
"be15",-0.659337190732727,0.917320490688054,-0.946394838086861,-0.197608711039202,0.900337018337223,1.28536633192983,-1.52634850941822,1.27289148180116,0.39813207782956,0.110444615478686
"be9",-0.935262565869107,-0.732644320153211,-1.51577476453282,-0.780215963749563,-1.04500144517164,-0.601612483613269,-0.989473601899911,0.727904472881308,1.45153720924194,1.68531811176413
"be29",-0.0493094347880237,1.33171560229236,0.385483118795959,0.518002898211781,-0.0199175494718865,-0.388205414082119,0.25019053254403,-0.166870884430362,-0.27227448938024,0.202764246909129
"be18",-0.759302412551369,0.653387110855958,0.0646685147018094,0.399491621266585,0.694846340692257,0.328120217211184,-1.07084181622387,1.14347810797319,0.134869668924522,0.254247962258451
"be28",-0.993048444387821,-0.991461713239192,-1.56365836551344,-2.59325939419039,-0.688732524871838,-0.769849406623922,-1.23104501222494,0.823568992698964,1.61629321696035,2.30639121802503
"be26",0.539533150841013,-0.996135392228476,0.902445259037017,0.567924363427644,0.563325112510845,-0.293618921033755,0.335979293228065,0.202698687694792,0.212171253080266,-0.835815467382837
"be3",-0.907267639617116,-0.796400698418846,-1.10418637817709,-1.73387914683468,-1.76200049395855,-0.391899007666032,-0.561420372550556,-0.19946978977978,-0.1097513439599,1.73399773213813
"be5",0.393658757799249,-0.0964660874321589,0.605445170055971,0.561639187992035,1.20085838606463,-0.225050227461795,0.0764500065692678,0.197507114963242,0.00907720939211993,-0.472919391668061
"be6",-0.139907603227883,-1.20132117907668,-0.027713483049101,0.557455255360626,0.818374731244042,-0.267254626290506,-0.207002424767589,0.518413549708719,0.605823916374167,0.104706944573867
"be7",1.92035557798926,-0.682829536276338,1.44866896614682,0.582883367458006,0.300000673084752,-0.672662658817607,1.42798247809592,-0.81465224750903,-0.352167059959701,-1.23297539828404
"be8",0.329404925611528,-0.793396835065469,1.04678965001485,0.560110802959795,0.66689904108518,-0.475816615994881,0.480594212475162,0.195393886456002,0.136796520074318,-0.793013077098022
"be24",2.17606732421539,-0.0594201299500669,1.2931605669886,0.580290056658545,0.508410978907761,-0.56991736681341,1.52420857257035,-1.45172145433168,-1.06192545215092,-1.0248184099665
"be4",-0.821365799447636,-0.877322628914452,-1.33804595122958,-1.47256521329498,-0.899908450819038,-0.436518599406384,-0.755162178475909,0.545461937705238,1.23312299660383,1.28050209543695
