"","model.type","aic.full","aicc.full","aicc.avg"
"1","null.NA",2423.77503703718,2429.31349857564,134.96186103198
"2","plant.NA",2467.81468673503,2487.27414619449,138.181897010805
"3","100m.full",2402.08907250075,2461.38319014781,136.743510563767
"4","100m.human",2383.30367161261,2402.76313107207,133.486840615115
"5","100m.nat",2437.23610183365,2467.23610183366,137.068672324092
"6","500m.full",2383.46768818288,2442.76180582993,135.708989212774
"7","500m.human",2402.69668596866,2422.15614542812,134.564230301562
"8","500m.nat",2419.87909279645,2449.87909279645,136.104394044247
"9","1km.full",2402.23484759545,2461.52896524251,136.751609180139
"10","1km.human",2414.81250359756,2434.27196305702,135.237331280945
"11","1km.nat",2430.8340428021,2460.8340428021,136.713002377894
"12","2km.full",2408.89273982085,2468.18685746791,137.121492081551
"13","2km.human",2431.42764217124,2450.8871016307,136.160394535039
"14","2km.nat",2422.33387496314,2452.33387496314,136.240770831286
"15","5km.full",2454.55102933192,2513.84514697898,139.658063721055
"16","5km.human",2427.20130495563,2446.66076441509,135.925598023061
"17","5km.nat",2434.15390783013,2464.15390783013,136.897439323896
