"Calliptamus_italicus","Chorthippus_albomarginatus","Chorthippus_apricarius","Chorthippus_biguttulus","Chorthippus_brunneus","Chorthippus_dorsatus","Chorthippus_mollis","Chorthippus_parallelus","Conocephalus_discolor","Bicolorana_bicolor","Roeseliana_roeselii","Myrmeleotettix_maculatus","Oedipoda_caerulescens","Phaneroptera_falcata","Platycleis_albopunctata","Stenobothrus_lineatus","Stethophyma_grossum","Tettigonia_viridissima"
0,0,8,33,1,6,28,1,0,0,1,0,0,2,0,0,0,0
0,0,1,0,10,7,2,2,13,6,1,1,0,3,3,0,0,3
0,2,4,18,8,1,17,5,1,0,2,0,0,0,0,0,3,0
0,0,1,0,29,1,21,0,0,12,0,10,3,0,1,0,0,0
0,0,4,1,0,36,20,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,10,4,11,1,0,0,1,7,3,2,6,2,0,0
0,1,14,0,0,34,3,4,0,0,6,0,0,2,0,0,2,6
0,0,0,1,25,27,9,0,0,0,0,0,7,0,0,0,0,0
0,0,1,0,30,3,23,0,0,0,0,0,0,0,0,0,0,0
0,4,15,0,11,36,22,2,0,0,0,0,0,0,0,0,0,0
0,0,2,3,7,10,47,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,50,16,49,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,24,0,9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8,0,21,0,0,0,0,0,0,0,0,0,0,0
0,0,2,1,43,2,31,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
0,0,10,5,0,9,26,0,0,0,0,0,0,0,0,0,0,0
0,1,1,4,26,1,30,0,2,10,0,0,1,4,0,0,0,0
0,0,0,0,21,0,2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,31,7,0,13,2,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,6,9,14,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,15,11,24,2,2,0,0,0,5,3,2,6,0,0
0,1,1,0,18,29,37,0,1,5,1,0,1,1,2,4,0,1
4,0,1,7,16,5,14,0,0,1,0,0,0,1,5,0,0,0
0,1,3,8,57,9,62,2,0,3,1,3,4,0,2,4,0,0
0,0,0,5,31,0,0,0,0,0,0,4,5,0,0,0,0,0
0,0,0,16,16,0,7,0,0,0,0,0,1,0,0,0,0,0
2,1,0,17,18,29,40,6,1,1,2,0,1,1,0,4,0,0
0,0,0,29,16,2,21,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,15,31,1,1,0,0,8,0,0,1,0,0,0,0
1,0,1,7,32,1,11,1,0,2,0,0,16,0,4,0,0,0
0,0,0,24,11,8,22,8,0,0,0,0,0,0,0,0,0,0
0,0,0,0,15,1,0,0,0,0,0,1,8,0,0,0,0,0
3,0,0,3,18,4,7,1,1,2,0,1,11,0,7,2,0,0
0,0,0,24,7,26,14,4,7,0,2,0,0,1,0,7,0,0
0,1,0,8,65,29,31,15,0,0,0,0,0,0,0,0,0,0
0,0,2,0,34,3,33,0,0,2,0,20,7,0,0,2,0,0
0,0,0,8,25,7,40,1,0,0,0,0,5,0,1,1,0,0
0,3,0,0,0,15,8,19,0,3,6,0,0,1,0,0,2,0
