"routcode_2","X","Y"
"be19","401669.842849871","5819259.92624076"
"be25","403138.89179036","5813354.67716656"
"be2","383777.696869793","5830955.63520046"
"be16","395037.590760477","5829546.26794573"
"be20","391028.445793659","5818323.66736633"
"be21","398981.254628643","5820329.55455136"
"be23","394918.283693422","5820276.65527637"
"be27","400734.026448893","5810936.43086437"
"be10","386400.264729868","5814289.05348368"
"be13","372755.613580427","5811072.6317207"
"be14","385815.208574806","5807532.89862238"
"be12","383954.118520398","5811355.49767688"
"be22","394970.92582729","5823297.43118446"
"be11","384965.009772724","5810164.24098538"
"be30","388135.78359734","5807424.16615734"
"be17","398892.165492934","5827400.43324525"
"be15","397328.073999173","5832660.45859673"
"be9","378658.522903791","5817954.05155176"
"be29","391555.32603868","5806784.08246572"
"be18","395006.844077721","5825971.44086037"
"be28","406717.928436472","5808642.2209335"
"be26","390335.453104329","5813512.96013862"
"be3","375337.41854817","5825569.59866547"
"be5","386429.804359906","5825516.55498586"
"be6","383296.833908629","5821996.59164784"
"be7","385345.838118452","5819804.6356908"
"be8","377076.331589351","5821592.84126905"
"be24","386706.071852387","5815965.55578809"
"be4","380643.981415693","5827295.44823821"
