routcode_2,X,Y
be10,386400.2647,5814289.053
be11,384965.0098,5810164.241
be12,383954.1185,5811355.498
be13,372755.6136,5811072.632
be14,385815.2086,5807532.899
be15,397328.074,5832660.459
be16,395037.5908,5829546.268
be17,398892.1655,5827400.433
be18,395006.8441,5825971.441
be19,401669.8428,5819259.926
be2,383777.6969,5830955.635
be20,391028.4458,5818323.667
be21,398981.2546,5820329.555
be22,394970.9258,5823297.431
be23,394918.2837,5820276.655
be24,386706.0719,5815965.556
be25,403138.8918,5813354.677
be26,390335.4531,5813512.96
be27,400734.0264,5810936.431
be28,406717.9284,5808642.221
be29,391555.326,5806784.082
be3,375337.4185,5825569.599
be30,388135.7836,5807424.166
be4,380643.9814,5827295.448
be5,386429.8044,5825516.555
be6,383296.8339,5821996.592
be7,385345.8381,5819804.636
be8,377076.3316,5821592.841
be9,378658.5229,5817954.052
