species,group,nsites
A.apus,Group1,14
A.arundinaceus,Group3,3
A.arvensis,Group3,5
A.caudatus,Group2,12
A.gentilis,Group3,3
A.palustris,Group3,3
A.scirpaceus,Group3,6
A.trivialis,Group3,3
B.buteo,Group3,3
C.brachydactyla,Group2,24
C.cannabina,Group3,5
C.canorus,Group3,7
C.carduelis,Group3,21
C.chloris,Group3,26
C.coccothraustes,Group2,11
C.corax,Group3,4
C.corone,Group1,28
C.familiaris,Group2,4
C.livia,Group1,14
C.oenas,Group3,5
C.palumbus,Group1,29
D.major,Group3,24
D.martius,Group3,5
D.medius,Group3,3
D.urbicum,Group3,4
E.citrinella,Group3,6
E.rubecula,Group3,23
E.schoeniclus,Group1,3
F.coelebs,Group3,20
F.hypoleuca,Group3,8
F.tinnunculus,Group3,5
G.glandarius,Group2,22
H.icterina,Group3,5
H.rustica,Group3,4
L.collurio,Group3,4
L.megarhynchos,Group3,19
L.naevia,Group3,4
M.alba,Group1,9
M.striata,Group2,10
O.oriolus,Group3,4
P.ater,Group3,5
P.caeruleus,Group2,29
P.collybita,Group3,19
P.cristatus,Group2,6
P.domesticus,Group1,24
P.major,Group2,29
P.modularis,Group3,10
P.montanus,Group3,18
P.ochruros,Group1,23
P.palustris,Group3,4
P.phoenicurus,Group3,24
P.pica,Group1,20
P.sibilatrix,Group2,9
P.trochilus,Group3,10
P.viridis,Group1,13
R.ignicapilla,Group2,11
S.atricapilla,Group3,28
S.borin,Group3,7
S.communis,Group3,5
S.curruca,Group3,21
S.europaea,Group3,17
S.serinus,Group3,15
S.vulgaris,Group1,29
T.merula,Group1,29
T.philomelos,Group3,19
T.troglodytes,Group2,21
